symbol,open,high,low,close,volume,adjust_close
A,133.02,134.54,132.65,133.67,1020491,
AA,52.11,54.46,51.77,54.43,4934236,
AADI,13.24,13.98,13.155,13.77,70603,
AAIC,3.3,3.38,3.2989,3.35,103312,
AAL,13.84,14.05,13.77,13.99,17775433,
AAN,13.79,13.96,13.51,13.58,148353,
AAOI,2.48,2.76,2.4001,2.76,274501,
AAON,59.45,59.715,58.73,59.51,60535,
AAP,182.79,185,176.75,179.91,3621079,
AAPB,25.34,25.67,25.34,25.66,1727,
AAPD,24.6,24.7559,24.5,24.59,42947,
AAPL,167.32,168.11,166.245,167.53,53851053,
AAPU,25.48,25.64,25.25,25.59,14291,
AAT,28.44,28.63,28.35,28.55,158138,
AAU,0.2322,0.2351,0.2264,0.232,102356,
AAWW,99.87,100.01,99.825,99.92,422661,
AAXJ,66.34,67.33,66.32,66.98,1412170,
AB,43.91,44.3,43.66,44.13,152865,
ABB,28.49,28.695,28.4399,28.49,1119236,
ABBV,139.05,139.46,137.7,137.91,5016079,
ABC,148.38,148.74,147.13,148.23,455227,
ABCB,48.1,48.63,47.66,48.51,179147,
ABCL,11.53,11.97,11.38,11.85,1196118,
ABEO,4.23,4.38,4.05,4.36,129214,
ABEV,3.02,3.08,3,3.04,30903535,
ABG,181.39,183.8,178.66,182.3,86839,
ABIO,2.33,2.4199,2.33,2.4199,34519,
ABM,47.15,47.49,46.9,47.32,151527,
ABMD,262.93,269.8,262.93,268.04,271839,
ABNB,110.93,115.57,110.84,114.51,3631212,
ABOS,5.13,5.57,5.12,5.47,31038,
ABR,15.34,15.4984,15.27,15.32,1556694,
ABSI,4.25,4.5,4.25,4.38,597097,
ABST,10.99,12.27,10.91,12.23,380689,
ABT,105.9,106.17,105.12,105.44,4277150,
ABTX,44.24,44.53,43.98,44.24,44842,
ABUS,2.3,2.33,2.26,2.32,462483,
ACA,62.5,63.47,61.87,62.71,112754,
ACAD,16.88,17.3,16.63,17.14,949536,
ACB,1.43,1.57,1.4,1.57,9193579,
ACCD,11.37,11.75,11.18,11.59,361002,
ACCO,6.57,6.58,6.46,6.49,626510,
ACEL,9.88,9.95,9.76,9.82,256928,
ACER,1.52,1.55,1.5053,1.52,146029,
ACES,62.04,64.34,62.04,63.85,27776,
ACET,14.53,15.24,14.465,15.09,376666,
ACEV,10.16,10.18,10.16,10.17,22225,
ACGL,46.32,46.81,46.15,46.68,1095531,
ACH,9.2,9.38,9.1,9.23,441617,
ACHC,82.57,84.11,82.0668,84.07,503288,
ACHR,3.71,3.85,3.71,3.79,1300451,
ACHV,4.73,4.87,4.49,4.83,126890,
ACI,28.33,28.43,28.12,28.34,1420002,
ACIU,3.52,3.53,3.4,3.52,68925,
ACIW,24.58,24.81,24.4,24.57,392909,
ACLS,72.4,73.69,70.84,72.39,429417,
ACLX,18.03,18.68,17.56,18.42,217342,
ACM,75.84,76.36,75.56,76.24,371650,
ACMR,16.48,16.96,16.33,16.77,2649975,
ACN,306.68,307.98,303.86,306.26,1695482,
ACNT,17.1686,17.2,16.95,16.97,4842,
ACOR,0.445,0.4451,0.41,0.421,342517,
ACR,9.8508,9.91,9.7579,9.87,14587,
ACRE,13.62,13.68,13.57,13.59,429474,
ACRS,17.05,17.6,16.91,17.31,227896,
ACRX,0.31,0.3301,0.3,0.3097,1288419,
ACT,26.07,26.42,26.07,26.11,91361,
ACTG,4.7,4.7722,4.64,4.66,162192,
ACVA,8.43,8.85,8.41,8.74,976260,
ACWI,88.83,89.6,88.75,89.28,2082998,
